Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
318,Dalen Terry,22,CHI,SG,4,0,31,1,2,0.5,0,0,,1,2,0.5,0.5,3,4,0.75,1,1,2,2,3,1,2,6,5,,terryda01
319,Drew Eubanks,27,UTA,C,2,0,10,1,2,0.5,1,1,1,0,1,0,0.75,1,2,0.5,2,1,3,3,0,0,0,0,4,,eubandr01
320,Enrique Freeman,24,IND,PF,2,0,16,1,1,1,0,0,,1,1,1,1,2,2,1,1,0,1,0,0,1,1,2,4,,freemen01
321,Andre Jackson Jr.,23,MIL,SG,3,0,13,2,3,0.667,0,1,0,2,2,1,0.667,0,0,,1,2,3,3,2,0,1,5,4,,jacksan01
322,Ajay Mitchell,22,OKC,SG,3,0,37,2,9,0.222,0,1,0,2,8,0.25,0.222,0,0,,0,5,5,7,2,1,2,3,4,,mitchaj01
323,Craig Porter Jr.,24,CLE,PG,3,0,13,2,5,0.4,0,2,0,2,3,0.667,0.4,0,0,,0,2,2,2,0,2,0,0,4,,portecr01
324,Baylor Scheierman,24,BOS,SG,2,0,10,1,3,0.333,0,2,0,1,1,1,0.333,2,2,1,0,1,1,0,0,0,0,1,4,,scheiba01
325,Pat Spencer,28,GSW,PG,1,0,3,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,0,0,0,0,0,0,0,0,4,,spencpa01
326,Jamal Cain,25,NOP,SF,1,0,3,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,0,3,,cainja01
327,D.J. Carton,24,TOR,SG,3,0,28,1,7,0.143,0,3,0,1,4,0.25,0.143,1,1,1,0,4,4,3,2,0,4,1,3,,cartodj01
328,Pacome Dadiet,19,NYK,SG,2,0,18,1,4,0.25,1,2,0.5,0,2,0,0.375,0,0,,0,2,2,0,0,0,1,2,3,,dadiepa01
329,Collin Gillespie,25,PHO,PG,1,0,3,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,0,0,0,0,0,0,0,3,,gilleco01
330,Jonathan Isaac,27,ORL,PF,1,0,11,1,4,0.25,1,2,0.5,0,2,0,0.375,0,2,0,2,1,3,0,1,2,0,1,3,,isaacjo01
331,Tre Jones,25,SAS,PG,1,0,16,0,2,0,0,0,,0,2,0,0,3,4,0.75,1,0,1,3,1,0,0,0,3,,jonestr01
332,Cory Joseph,33,ORL,PG,2,0,10,1,3,0.333,1,2,0.5,0,1,0,0.5,0,0,,0,0,0,1,0,0,0,0,3,,josepco01
333,Jaylen Martin,21,BRK,SF,1,0,2,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,1,3,,martija02
334,Duop Reath,28,POR,C,3,0,9,1,4,0.25,1,2,0.5,0,2,0,0.375,0,0,,1,1,2,2,0,1,1,0,3,,reathdu01
335,Gui Santos,22,GSW,PF,3,0,14,1,1,1,0,0,,1,1,1,1,1,2,0.5,0,4,4,2,0,0,2,3,3,,santogu01
336,Jeenathan Williams,25,HOU,SG,1,0,2,1,1,1,1,1,1,0,0,,1.5,0,0,,0,2,2,0,0,0,0,0,3,,willije02
337,Adem Bona,21,PHI,PF,2,0,4,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,0,0,0,0,2,2,,bonaad01
